images,name,selling-price,mrp,rating-star,rating_count,highlights
"https://rukminim2.flixcart.com/image/xif0q/mobile/p/r/b/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj42cctpjjze.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/0/a/l/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj42hrnkvzhu.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/k/i/-original-imagtxvufjje5frg.jpeg","OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹19,825","₹19,999",4.4 out of 5,"26,747 Ratings","8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery"
"https://rukminim2.flixcart.com/image/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/j/d/-original-imaghggzevzjhzs5.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/k/z/n/-original-imaghggz7emhbdfx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/6/t/-original-imaghggzzmwgb6f7.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/g/g/-original-imaghggz5qrjmurb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/7/e/-original-imaghggzxsf32hhm.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/v/r/-original-imaghggzf5etrrgd.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/9/l/1/-original-imaghggzpecftpsa.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/v/y/-original-imaghggzaxazeqg6.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/p/s/-original-imaghggzduwfz942.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/e/k/-original-imaghggza85gfuyh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/8/2/d/-original-imaghggzneags38g.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/6/l/5/-original-imaghmtcdcfsvmqj.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/u/1/f/-original-imaghmtcrygjhu8y.jpeg","POCO C50 (Royal Blue, 32 GB)","₹5,799","₹9,999",4 out of 5,"21,803 Ratings","3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor, Upto 2.0 GHz Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/c/n/j/-original-imagt5ugyaxgqugq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/n/j/-original-imagt5ugyaxgqugq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/n/j/-original-imagt5ugyaxgqugq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/k/w/a/-original-imagt5ugmkks2ep7.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/y/9/w/g54-5g-payw0003in-motorola-original-imagt3mdh8rhhkx5.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/m/t/-original-imagtabzbqep7xjt.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/5/8/v/-original-imagtabzhnnkpqjv.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/r/0/p/g54-5g-payw0003in-motorola-original-imagt3mdxf6daqk5.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/k/q/2/g54-5g-payw0003in-motorola-original-imagt3mdxyzhfsjz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/t/e/j/g54-5g-payw0003in-motorola-original-imagt3mdkmvpezfu.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/o/o/g54-5g-payw0003in-motorola-original-imagt3mdkdktdqch.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/5/n/j/g54-5g-payw0003in-motorola-original-imagt3mdrgypekpc.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/d/d/h/g54-5g-payw0003in-motorola-original-imagt3mdcqxneawt.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/l/t/m/g54-5g-payw0003in-motorola-original-imagt3mdmfrkkvam.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/x/t/z/g54-5g-payw0003in-motorola-original-imagt3mdzf5a5x46.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/a/w/7/-original-imagtrufvwhhchuy.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/r/s/z/-original-imagtrufmgk3fghx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/1/w/x/-original-imagtruf4fvnbfg3.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/0/w/k/-original-imagtruf2w2m4jep.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/d/z/g/-original-imagtrufw97q8hjb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/b/9/-original-imagtruf2rq92cye.jpeg","MOTOROLA g54 5G (Mint Green, 128 GB)","₹14,999","₹17,999",4.2 out of 5,"24,207 Ratings","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/e/a/g/-original-imags37h4prxjazz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/a/g/-original-imags37h4prxjazz.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/s/h/12-mzb0eywin-redmi-original-imagrwgc3zbbyyzg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/b/a/12-mzb0eywin-redmi-original-imagrwgc4knzycqn.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/l/r/h/-original-imags2yrpzcfyzzr.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/c/g/12-mzb0eywin-redmi-original-imagrwgcdmyntjzh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/j/j/12-mzb0eywin-redmi-original-imagrwgcjfnb47y2.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/4/g/h/12-mzb0eywin-redmi-original-imagrwgchzz8cfws.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/6/4/k/12-mzb0eywin-redmi-original-imagrwgcgepzvkpd.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/z/i/12-mzb0eyxin-redmi-original-imagrwgcb9tyhadq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/q/k/12-mzb0eyxin-redmi-original-imagrwgcuzhypwpv.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/m/g/m/12-mzb0eyxin-redmi-original-imagrwgchrghcnby.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/4/e/12-mzb0eyxin-redmi-original-imagrwgcksmzq3kh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/q/o/12-mzb0eyxin-redmi-original-imagrwgcddcwdwfx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/e/i/12-mzb0eywin-redmi-original-imagrwgc3cb2bbtx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/0/j/u/12-mzb0eyxin-redmi-original-imagrwgcsh5hnvj9.jpeg","REDMI 12 (Pastel Blue, 128 GB)","₹9,299","₹14,999",4.3 out of 5,"75,195 Ratings","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/2/p/8/-original-imagg2a4rmk94gay.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/i/k/-original-imagg2a4mwqtph2z.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/e/h/-original-imagg2a49gm7qx5c.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/i/e/-original-imagm27ghg9hz8zw.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/b/9/h/-original-imagg2a4m7yzv6ez.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/a/v/3/-original-imagg2a4t7jhf34p.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/u/i/o/-original-imagg2a4nuq8yjmf.jpeg","OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹16,888","₹19,999",4.4 out of 5,"1,35,981 Ratings","6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera | 16MP Front Camera,5000 mAh Battery"
"https://rukminim2.flixcart.com/image/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/5/w/3/-original-imaghxcpnf8aay8h.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/b/z/-original-imaghxcpwuhbghgh.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/5/i/7/-original-imaguypzzhbzm5an.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/f/h/-original-imaguypztg4ddpes.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/a/q/n/-original-imagh2gw4zqxyzst.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/1/d/y/-original-imaghxcpvtta2hzs.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/q/b/i/-original-imaghxcptg5mdycw.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/t/g/-original-imaghxcp4ctcfwff.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/g/3/k/-original-imaghxcpnmh9y8ga.jpeg","APPLE iPhone 14 (Blue, 128 GB)","₹60,999","₹69,900",4.6 out of 5,"2,37,395 Ratings","128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip, 6 Core Processor Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/q/l/-original-imagzjhwdvkpjuwa.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/i/i/w/-original-imagzjhwmee6bncs.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/v/p/q/-original-imagzjhwkgvefqrm.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/c/i/g/-original-imagq3tyhzayxetq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/e/n/5/-original-imagzjhwtee4mnsy.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/j/o/x/-original-imagzjhwu4fg2hth.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/v/h/-original-imagzjhwkubmddyf.jpeg","vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999","₹18,999",4.4 out of 5,"2,53,958 Ratings","6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/j/n/g/-original-imagueeyxhy8p2e9.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/j/n/g/-original-imagueeyxhy8p2e9.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/6/o/-original-imagueeyvefdahud.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/v/2/7/-original-imagueeyfxnfh9es.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/u/v/s/-original-imagueeynqznncgy.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/y/j/-original-imagueeytu2mz499.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/j/m/6/-original-imagueey7as752px.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/y/h/-original-imagueeyhpy4h7mj.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/l/e/i/-original-imagueeyzthknvdb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/y/l/d/-original-imagueeyfkun9u2j.jpeg","SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹8,199","₹14,999",4.3 out of 5,"1,85,746 Ratings","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor"
"https://rukminim2.flixcart.com/image/xif0q/mobile/a/o/z/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj3wqxzgquah.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/f/f/b/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj3wj2wvzsmg.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/o/j/9/-original-imagtxvugchxwxdg.jpeg","OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹21,775","₹21,999",4.4 out of 5,"26,747 Ratings","8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery"
"https://rukminim2.flixcart.com/image/xif0q/mobile/b/a/6/-original-imagvypzzekyhnke.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/7/x/f/-original-imagvypzrg4nk7zq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/z/0/2/-original-imagvypzhwpvvgrx.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/h/z/s/-original-imagvyp8muxzrpmf.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/s/c/i/-original-imagvyp8gt7dzfdb.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/p/0/0/-original-imagvyp8pwajut3s.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/n/d/0/-original-imagvypz9t8gpyjm.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/a/i/q/-original-imagvypzjyf4s3wq.jpeg,https://rukminim2.flixcart.com/image/xif0q/mobile/r/s/4/-original-imagvypzhkeufjjd.jpeg","REDMI 12C (Royal Blue, 64 GB)","₹6,799","₹13,999",4.2 out of 5,"10,794 Ratings","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G85 Processor"
